source,storage_name,metrica_field,type,description
visits,visit_id,ym:s:visitID,HUGEINT,"Идентификатор визита, уникален в рамках одного года"
visits,watch_ids,ym:s:watchIDs,HUGEINT[],"Просмотры, которые были в данном визите. Ограничение массива — 500 просмотров"
visits,date,ym:s:date,DATE,Дата визита
visits,date_time,ym:s:dateTime,TIMESTAMP,Дата и время визита (в часовом поясе счетчика)
visits,is_new_user,ym:s:isNewUser,BOOLEAN,Первый визит посетителя
visits,start_url,ym:s:startURL,VARCHAR,Страница входа
visits,end_url,ym:s:endURL,VARCHAR,Страница выхода
visits,page_views,ym:s:pageViews,INTEGER,Глубина просмотра (детально)
visits,visit_duration,ym:s:visitDuration,BIGINT,Время на сайте (детально)
visits,bounce,ym:s:bounce,BOOLEAN,Отказность
visits,region_country,ym:s:regionCountry,VARCHAR,Страна (ISO)
visits,client_id,ym:s:clientID,HUGEINT,Анонимный идентификатор пользователя в браузере (first-party cookies)
visits,is_robot_pro,ym:s:isRobotPro,BOOLEAN,"Роботность визита по данным антифрода Директа и поведению на сайте. Возможные значения: 0 — не роботный визит, 1 — роботный визит.; Данные в поле актуальны с 19 апреля 2025 года и доступны только на счетчиках в Метрике Про."
visits,goals_id,ym:s:goalsID,BIGINT[],"Номера целей, достигнутых за данный визит"
visits,goals_serial_number,ym:s:goalsSerialNumber,BIGINT[],Порядковые номера достижений цели с конкретным идентификатором
visits,goals_date_time,ym:s:goalsDateTime,TIMESTAMP[],Время достижения каждой цели (в часовом поясе UTC+3)
visits,goals_price,ym:s:goalsPrice,BIGINT[],Ценность цели
visits,goals_order,ym:s:goalsOrder,VARCHAR[],Идентификатор заказов
visits,goals_currency,ym:s:goalsCurrency,VARCHAR[],Идентификатор валюты
visits,traffic_source,ym:s:TrafficSource,VARCHAR,Источник трафика
visits,adv_engine,ym:s:AdvEngine,VARCHAR,Рекламная система
visits,referal_source,ym:s:ReferalSource,VARCHAR,Переход с сайтов
visits,search_engine_root,ym:s:SearchEngineRoot,VARCHAR,Поисковая система
visits,search_engine,ym:s:SearchEngine,VARCHAR,Поисковая система (детально)
visits,social_network,ym:s:SocialNetwork,VARCHAR,Cоциальная сеть
visits,social_network_profile,ym:s:SocialNetworkProfile,VARCHAR,Группа социальной сети
visits,referer,ym:s:referer,VARCHAR,Реферер
visits,direct_click_order,ym:s:DirectClickOrder,BIGINT,Кампания Яндекс Директа
visits,direct_banner_group,ym:s:DirectBannerGroup,BIGINT,Группа объявлений
visits,direct_click_banner,ym:s:DirectClickBanner,VARCHAR,Объявление Яндекс Директа
visits,direct_click_order_name,ym:s:DirectClickOrderName,VARCHAR,Название кампании Яндекс Директа
visits,click_banner_group_name,ym:s:ClickBannerGroupName,VARCHAR,Название группы объявлений
visits,direct_click_banner_name,ym:s:DirectClickBannerName,VARCHAR,Название объявления Яндекс Директа
visits,direct_phrase_or_cond,ym:s:DirectPhraseOrCond,VARCHAR,Условие показа объявления
visits,direct_platform_type,ym:s:DirectPlatformType,VARCHAR,Тип площадки
visits,direct_platform,ym:s:DirectPlatform,VARCHAR,Площадка
visits,direct_condition_type,ym:s:DirectConditionType,VARCHAR,Тип условия показа объявления
visits,utm_campaign,ym:s:UTMCampaign,VARCHAR,UTM Campaign
visits,utm_content,ym:s:UTMContent,VARCHAR,UTM Content
visits,utm_medium,ym:s:UTMMedium,VARCHAR,UTM Medium
visits,utm_source,ym:s:UTMSource,VARCHAR,UTM Source
visits,utm_term,ym:s:UTMTerm,VARCHAR,UTM Term
visits,device_category,ym:s:deviceCategory,VARCHAR,"Тип устройства. Возможные значения: 1 — десктоп, 2 — мобильные телефоны, 3 — планшеты, 4 — TV"
visits,operating_system_root,ym:s:operatingSystemRoot,VARCHAR,Группа операционных систем
visits,browser,ym:s:browser,VARCHAR,Браузер
visits,screen_format,ym:s:screenFormat,VARCHAR,Соотношение сторон. Возможные значения:; - undefined;; - 9:21;; - 9:16;; - 3:5;; - 10:16;; - 2:3;; - 3:4;; - 4:5;; - 5:4;; - 4:3;; - 3:2;; - 16:10;; - 5:3;; - 16:9;; - 21:9.
visits,screen_orientation,ym:s:screenOrientation,SMALLINT,"Ориентация экрана. 1 - portrait, 2 - landscape"
visits,screen_width,ym:s:screenWidth,INTEGER,Логическая ширина
visits,screen_height,ym:s:screenHeight,INTEGER,Логическая высота
visits,purchase_id,ym:s:purchaseID,VARCHAR[],Идентификатор покупки. Список всех идентификаторов транзакций для визита. Идентификаторы уникальные.
visits,purchase_date_time,ym:s:purchaseDateTime,TIMESTAMP[],Дата и время покупки
visits,purchase_revenue,ym:s:purchaseRevenue,DOUBLE[],Общий доход или суммарная ценность транзакции
visits,purchase_currency,ym:s:purchaseCurrency,VARCHAR[],Валюта транзакции
visits,events_product_price,ym:s:eventsProductPrice,BIGINT[],Цена товара
visits,events_product_event_time,ym:s:eventsProductEventTime,TIMESTAMP[],Дата и время события
